sportName,sportId,tagId,bookmakerId,cap,totalsCap,handicapsCap,minSpread,minSpreadTotals,minSpreadHandicaps,propsCap,propsSpread
NCAAF,1,9001,3,2500,default (cap/2),default (cap/2),default,5,5,0,0
NFL,2,9002,3,8000,default (cap/2),default (cap/2),default,4,4,2000,4
MLB,3,9003,3,5000,default (cap/2),default (cap/2),4,5,5,default (cap/2),5
NBA,4,9004,3,3000,default (cap/2),default (cap/2),default,4,4,default (cap/2),4
NCAAB,5,9005,3,3500,default (cap/2),default (cap/2),default,6,6,0,0
WNBA,8,9008,3,default,default (cap/2),default (cap/2),default,default,default,0,0
EuroLeague,399,9399,154,1500,default (cap/2),default (cap/2),default,default,default,0,0
FIBA World Cup,409,9409,141,1000,default (cap/2),default (cap/2),5,5,5,0,0
NHL,6,9006,11,3000,default (cap/2),default (cap/2),4,5,5,default (cap/2),5
Hockey World Championship,33,9033,141,1000,default (cap/2),default (cap/2),7,9,9,0,0
UFC,7,9007,3,3000,default (cap/2),default (cap/2),6,default,0,0,0
Boxing,9196,18196,517,1000,0,0,7,0,0,0,0
MLS,10,9010,3,2500,default (cap/2),default (cap/2),default,7,7,0,0
EPL,11,9011,3,4000,default (cap/2),default (cap/2),default,5,5,0,0
France League 1,12,9012,3,3000,default (cap/2),default (cap/2),default,5,5,0,0
Bundesliga,13,9013,3,3000,default (cap/2),default (cap/2),default,5,5,0,0
La Liga,14,9014,3,3000,default (cap/2),default (cap/2),default,5,5,0,0
Seria A,15,9015,3,3000,default (cap/2),default (cap/2),default,5,5,0,0
Champions League,16,9016,3,3000,default (cap/2),default (cap/2),default,5,5,0,0
Europa League,17,9017,3,2000,default (cap/2),default (cap/2),default,5,5,0,0
FIFA WC,18,9018,3,1000,default (cap/2),default (cap/2),default,default,default,0,0
J1,19,9019,3,2000,default (cap/2),default (cap/2),default,7,7,0,0
Champions League Qualification,42,9042,517,2000,default (cap/2),default (cap/2),default,default,default,0,0
Copa Libertadores,45,9045,517,2000,default (cap/2),default (cap/2),5,5,5,0,0
EURO Qualification,50,9050,517,2500,default (cap/2),default (cap/2),5,6,6,0,0
Netherlands League 1,57,9057,517,1500,default (cap/2),default (cap/2),5,5,5,0,0
Portugal League 1,61,9061,517,2000,default (cap/2),default (cap/2),5,5,5,0,0
Europa League Qualification,73,9073,517,2000,default (cap/2),default (cap/2),4,7,7,0,0
World Cup Woman,76,9076,517,2000,default (cap/2),default (cap/2),default,default,default,0,0
Brazil Football League,268,9268,517,1500,default (cap/2),default (cap/2),5,7,7,0,0
EURO U21,288,9288,517,4000,default (cap/2),default (cap/2),default,default,default,0,0
FIFA WC U20,296,9296,517,1000,default (cap/2),default (cap/2),7,9,9,0,0
Saudi Arabia Football League,536,9536,517,1500,default (cap/2),default (cap/2),5,7,7,0,0
UEFA League of Nations,9806,18806,517,2000,default (cap/2),default (cap/2),default,5,5,0,0
CONCACAF League of Nations,9821,18821,517,2000,default (cap/2),default (cap/2),default,5,5,0,0
World Cup Qualifications CONMBOL,10199,19199,517,2500,default (cap/2),default (cap/2),4,6,6,0,0
Europa Conference League,10216,19216,517,1500,default (cap/2),default (cap/2),4,7,7,0,0
Tennis GS,153,9153,120,2000,default (cap/2),default (cap/2),4,4,4,0,0
Tennis Masters 1000,156,9156,120,1000,default (cap/2),default (cap/2),6,8,8,0,0
F1,445,9445,154,3000,0,0,0,0,0,0,0
Moto GP,497,9497,517,3000,0,0,0,0,0,0,0
CsGo,9977,18977,120,1000,0,0,6,0,0,0,0
Dota,9983,18983,120,1000,0,0,6,0,0,0,0
LOL,10138,19138,120,1000,0,0,6,0,0,0,0
GOLF H2H,100021,109021,3,1000,0,0,6,0,0,0,0
GOLF Winners,100121,109121,3,5000,0,0,0,0,0,0,0
